label,tweet,clean_text
anger,"Betul Min rakyat Indonesia sekarang harapan nya tinggal sama TNI saja, kalau yang lain lihat saja, sudah jelas penyerangan ke kantor media, katanya tidak ada unsur pidananya, sudah jelas menghina presiden Indonesia yang sah, cuma lucu lucu an saja, #TNI [URL]",betul min rakyat indonesia sekarang harapan nya tinggal sama tni kalau lihat jelas penyerangan kantor media katanya tidak unsur pidananya jelas menghina presiden indonesia sah cuma lucu lucu an tni url
anger,Kalaupun fansite ngejual hasil jepretan mereka toh uang nya lari ke idol juga. Beliin mereka hadiah dan sebagainya kan. Kpopers baru ya? Fansite sudah ada dari  jaman kamera belum  sebening skrg!,kalaupun fansite ngejual hasil jepretan uang nya lari idol beliin hadiah sebagainya kan kpopers baru fansite jaman kamera belum sebening skrg
joy,"sangat bersyukur bisa mendoakan kakeknya, Bung Karno, bersama anak-anak yatim piatu. #BulanBungKarno #JuniBulanBungKarno #PenyambungLidahRakyatIndonesia #nomor2untukjatim #jatimpilihgusipulputi #KabehSedulurKabehMakmur [USERNAME] h",sangat bersyukur mendoakan kakeknya bung karno bersama anak anak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomor untukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur username h
sad,Sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang  dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat tanpa kita mempelajari secara utuh dan mengklaim diri kita paling benar.,sulit menerima kenyataan memang sebagian menganggap berinteraksi satu orang satu golongan tertentu langsung mengatakan golongan tertentu sesaat mempelajari utuh mengklaim diri paling benar
anger,samanye sudah  maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,samanye maling semua tidak si jancok tidak si anjing tidak si siluman monyet hahahahaha satu hati sama sama maling
anger,"Ku juga ingin ngamuk bacain komen2 netizen yang  mahabenar. Ya Lord. tidak abis pikir. Komen2 macem gini yang  bikin kasus pelecehan seksual akan tenggelam begitu saja. Tidak ada hukuman untuk pelaku. Lebih sedihnya, rerata yang  komen jahat adalah perempuan. Mbaq2, kesehatanmu loh! [URL]",ku ngamuk bacain komen netizen mahabenar lord tidak abis pikir komen macem bikin kasus pelecehan seksual tenggelam tidak hukuman pelaku lebih sedihnya rerata komen jahat perempuan mbaq kesehatanmu url
love,"Setiap kesempatan yang  pernah hadir tuk dapat membuatmu selalu merasa aman dan nyaman, kini jadi suatu kehormatan yang  pernah didapat",kesempatan pernah hadir tuk membuatmu selalu merasa aman nyaman kini jadi suatu kehormatan pernah didapat
anger,Sedap kali kamu ya tidur  dikasur ku. saya tidur kamu ikut tidur. Mau jadi apa kau. *Bacanya pakai  logat mamak dahlia di Keluarga Badak*,sedap kali kamu tidur dikasur ku tidur kamu ikut tidur mau jadi apa kau bacanya pakai logat mamak dahlia keluarga badak
joy,"H-9. Mau ke bank ramai  sangat  ampe antrian tempat duduknya ada diluar. Toko emas meluber ampe tidak kelihatan  mbak2nya yang  jualan. Ke swalayan antrian kasir naudzubilah panjang bener. Pada bahagia semua kayaknya. Semoga oh semoga RS sepi, pasien pada sembuh dan pulang untuk  berbahagia",h mau bank ramai sangat ampe antrian tempat duduknya diluar toko emas meluber ampe tidak kelihatan mbak nya jualan swalayan antrian kasir naudzubilah panjang bahagia semua kayaknya semoga semoga rs sepi pasien sembuh pulang berbahagia
anger,"Benar2 hancur negara ini dikelola amatiran, tapi kenpak [USERNAME] tidak mengindahkan statementnya sendiri? Negara miskin koordinasi, jangan asal gagah2an .. setalah salah dianulir mana marwahmu wahai mr. [USERNAME] presiden? [URL]",benar hancur negara dikelola amatiran kenpak username tidak mengindahkan statementnya sendiri negara miskin koordinasi jangan asal gagah an setalah salah dianulir mana marwahmu wahai mr username presiden url
anger,"Budayakan mencari dan membaca sebelum tanya  ya. sudah dijelaskan berkali2 kok. Selama tidak diatur/gaada ketentuan khusus, pakai saja ",budayakan mencari membaca tanya dijelaskan berkali selama tidak diatur gaada ketentuan khusus pakai
sad,"Separuh hati ini iri jika melihat seorang anak yang  masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yang  begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yang  terbaik untuk kita semua.",separuh hati iri melihat seorang anak duduk berjalan bersama ibundanya separuh hati turut berempati melihat seorang anak gundah ibundanya sakit sabar kawan semoga allah memberikan terbaik semua
joy,Ketika saya tersenyum bukan berarti hidupku sempurna.. saya hanya mensyukuri apa yang saya punya dan apa yang  telah Tuhan berikan untuk ku,tersenyum bukan berarti hidupku sempurna mensyukuri apa punya apa tuhan berikan ku
sad,"dari mau tdr, tidur, sampai bangun  tidur  kok yaa mirip  merasa  aneh.. tidak enak hati. sudah dibawa istighfar masih aja. bangun  tidur  mirip  sedih, mirip  mikir tidak puguh. ini kenapa sangat  coba :(",mau tdr tidur bangun tidur mirip merasa aneh tidak enak hati dibawa istighfar bangun tidur mirip sedih mirip mikir tidak puguh sangat coba
love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang  #6nov #31months,kan kupeluk engkau erat hingga tak seorang merebut mu pelukan ku happy anniversary sayang nov months
anger,kalau  mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya hanya buat kaos dan tagar,kalau mau ganti presiden jelas siapa calonnya terus diadu program kerjanya koalisi belum ditentuin bisanya buat kaos tagar
joy,"Sukses n keren sekali  dengan  no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan",sukses n keren sekali no kualitas bhn krja cita pu warisan ampe cu sukses tims bbpjn barokah terlimpahkan
anger,"sudah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu tidak perlu diungkapkan, tambah  dosa + menyakiti  hati orangnya mending diem2 baik  lah. kasihan  anda nya yang  di julidin sama  orang.",mau sarjana kali mbokya mulut nya jangan ketinggalan buat belajar sekiranya tidak perlu diungkapkan tambah dosa menyakiti hati orangnya mending diem baik kasihan nya julidin sama orang
anger,Gimana orang tidak nilai dari  jilbab/syari/nggak nya. Kadang gemez sama  orang yang  dikelas diem2 baik  eh di grup saya bisanya dia nyeletuk mengarah ke social harassment.,gimana orang tidak nilai jilbab syari tidak nya kadang gemez sama orang dikelas diem baik grup bisanya nyeletuk mengarah social harassment
fear,Hari ini jadwal presentasi proker di LPPM karena  ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa),hari jadwal presentasi proker lppm praktikum jadinya pak ketua temani sekretaris selaku penanggung jawab sekretaris jadi deg deg an bismillah pak ketua btw pen upload foto pak ketua jangan dulu
anger,Foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa kan saya #begoloe,foto instagram cuma lupa password instanya jadi tidak buka salah pemerintah instagram pakai password segala tuh lupa kan begoloe
fear,Drama kmarin sore : seharian puasa terus  pas lagi  mandi kaget bcz kedatangan tamu tak diundang pas sangat  woi pas lagi adzan maghrib terus  jadi galau dong seharian itu dianggap sah puasa apa enggak-_-,drama kmarin sore seharian puasa terus pas mandi kaget bcz kedatangan tamu tak diundang pas sangat woi pas adzan maghrib terus jadi galau seharian dianggap sah puasa apa tidak
sad,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tapi sukses melupakan laper. [URL],sungguh mencintaimu berat sekali berpisah denganmu hadiahperasaan username selalu bikin baper sukses melupakan laper url
anger,"4. pas sudah  dikirim kembali, si kurir telepon keluh  dan malas bergerak buat antar  ke alamat yang  bener. malah minta ketemuan di titik yang  dia tahu itupun dia tidak mau susah (no putar  balik, harus  searah sama arah kendaraan dia jalan)",pas dikirim si kurir telepon keluh malas bergerak buat antar alamat malah minta ketemuan titik tahu itupun tidak mau susah no putar balik searah sama arah kendaraan jalan
joy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan.",akhirnya melewati semua semua dulu bayangkan betapa sulitnya lalui akhir belajar belajar belajar memetik semua hikmah petik mempersiapkan kedepan
love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya",pasangan seringkali diibaratkan rumah rasa nyaman bersamanya senyaman berada rumah kamu jadi apa kamu selalu pulang menujunya
fear,"Ya tahu kalau  rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat tidak  menyelesaikan masalah dengan terlontarnya kata demi kata",tahu kalau rasa sakit hati memamg sulit kala nya jenjang rumah tangga jangan publikan situasi media jahat tidak menyelesaikan masalah terlontarnya kata kata
joy,Ponakan kelas  4 SD: lagi  suka  nonton video tutorial masak + craft @ YouTube. saya kelas  4 SD: sudah baca novel2 Marga T. &amp Mira W. pinjam  punya sepupu,ponakan kelas sd suka nonton video tutorial masak craft youtube kelas sd baca novel marga t amp mira w pinjam punya sepupu
joy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dapat  pangkat yang  tinggi. Kurang paham juga tentang pangkat2an di TNI. pokoknya  sudah hidup bekecukupan.,bberapa tahun kemudian kesejahteraan keluarga makmak teus meningkat sampailah suaminya pangkat tinggi kurang paham pangkat an tni pokoknya hidup bekecukupan
sad,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini saya dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu.",bukan tidak mendukung mendoakan cuma menyikapi apa pilihanmu berupayalah mempertahankannya disini jauh bahagia melihatmu sedih kebahagianku pudar kala menerima undangan pernikahanmu
joy,JNE/JNT selama saya pakai  entah kirim paket/beli olshop jastip dari luar kota sampai beda pulau maksimal 3 hari sampai mau itu dia pakai  mobil susah cari alamat bingung tidak bisa masuk kompleks/gang meski malam  sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan  baik.,jne jnt selama pakai entah kirim paket beli olshop jastip luar kota beda pulau maksimal hari mau pakai mobil susah cari alamat bingung tidak masuk kompleks gang meski malam sekalipun dibelain jalan rumah paketan terkirim baik
anger,"Gemes sangat  sama orang yang  masih menganggap wajar pelecehan sexual secara verbal mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!",gemes sangat sama orang menganggap wajar pelecehan sexual verbal mau verbal fisik apapun tetap tidak dibenarkan
fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yang  terjadi antara penanya dan seorang ustad disebuah acara tv yang  intronya pakai  musik.,apa hukumnya bermain musik stad jelas haroom hukumnya berdosa memainkannya begitulah kira kira percakapan terjadi penanya seorang ustad disebuah acara tv intronya pakai musik
anger,Apa Hebatnya Mardani? Menurut saya  oeang ini Cuma besar mulut saja  Faktanya sampai saat ini belum  menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA tidak mungkin lah yaow,apa hebatnya mardani oeang cuma besar mulut faktanya belum menyebutkan capres lagipula kalau koalisinya pks gerindra tidak mungkin yaow
sad,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tapi  tidak tahu tahun berapa2 nya. Lanjut yang  tadi, baru saja  setahun di kasih kenikmatan datang lagi  ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent",iya ibu nya ngelahirin anak cewek tidak tahu tahun berapa nya lanjut tadi baru setahun kasih kenikmatan datang ujian buat si makmak kali mungkin berat tinggal suaminya meninggal seketika ibu jadi singel parent
joy,Z suka twitter soalny perempuan ji semua temanku di sini Biar mengomel sampai tablengker ndada bahayanya... bahas 'monsteration' juga bebas.. bahas tidak puasa juga bebas~~~~~ Di saya mau  update status streskan 'monsteration' kita  harus pi dulu  blok semua cowok  baru mengupdate,z suka twitter soalny perempuan ji semua temanku sini biar mengomel tablengker ndada bahayanya bahas monsteration bebas bahas tidak puasa bebas mau update status streskan monsteration pi dulu blok semua cowok baru mengupdate
anger,tidak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?,tidak ngerti sama ciwi ciwi nyinyirin via vallen korban sesusah itukah saling support satu sama gurlzz
anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayaknya  tidak jadi deh mengingat kondisi yang  tidak fit sangat  ini sebel. Rusak rencana sebelanga.. kesal  saya",hari libur rencananya mau nonton jurassic world kayaknya tidak jadi mengingat kondisi tidak fit sangat sebel rusak rencana sebelanga kesal
anger,"Nah ini, yang  nunggu anak anteng dengan kesabaran seluas samudra terus  bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan",nah nunggu anak anteng kesabaran seluas samudra terus bapaknya dateng bikin anak nangis kuingin marah melampiaskan
love,"Ku rindu bisik mu di telingaku Seraya kamu berkata ""semoga kelak kamu menjadi anak yang  berguna bagi banyak orang dan semoga kamu selalu menyayangi kami orang tua mu"".",ku rindu bisik mu telingaku kamu berkata semoga kelak kamu menjadi anak berguna banyak orang semoga kamu selalu menyayangi orang tua mu
anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...,hasil sekolah asal sekolah mikirlah mahkamah internasional punya kewenangan mengadili perkara genosida dsbnya
anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo",elu harusnya ditanya teh berasumsi guw kacang kulit maksudnya apa hayo sana kan maksud loo
anger,"web permata kurang  profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?",web permata kurang profesional program cashback rb token pln waktu klik info masuknya program paket kuota data piye iki
fear,"Nah.... yang  saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yang  bahaya, soalnya  masyarakat kita sedang sensitif dengan  hal tersebut.",nah takutkan mas tumpangi politik dibalut agama bahaya soalnya masyarakat sedang sensitif tersebut
sad,"mau cerita kesiapa kalau sudah mirip  begini? hancur hidup ini pikirin dong gimana hati ku saya sedih, saya nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw",mau cerita kesiapa kalau mirip begini hancur hidup pikirin gimana hati ku sedih nangis menetes air mata kayaknya lirik lagu sayang pia palen wkwkw
sad,"Setelah 20hari puasa dan saur tidak pernah kesiangan, akhirnya di hari ke21 merasakan  makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam",hari puasa saur tidak pernah kesiangan akhirnya hari merasakan makan saur supeerr dupeerr ekspress menit imsak baru bangun yassalaam
fear,"jadi ada thr tapi dari  APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dapat  thr tahun ini. Kok bisa begitu  ya. Buk mentri bilang aman. Yang lain ketakutan.",jadi thr apbd punya kuasa takut kalau kalau garis bawahi sama kpk jadilah ggl thr tahun buk mentri bilang aman ketakutan
anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok tidak bisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center semoga  . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalau  gini terus  kan jadi jgkel sndri.,bantu username lptop kali tidak buka dokumen not responding pdhal pernah dibawa hp center semoga lptop termasuk produk gagal gimana beli maret kalau terus kan jadi jgkel sndri
anger,ini sudah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tanggal 11?,masuk proses penjualan pas dibuka detail ko malah produk sedang diproses diproses tanggal
anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yang  lokasi hanya 200 meter dari  areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?,username semen indonesia belum nambang rembang malah perusahaan lokasi meter areal tambang semen tidak pernah diprotes bertahun lamanya knp pas semen diprotes
anger,SIAPA yang  BILANG PUNYA ANAK MENYENANGKAN terus  *sodorin anak yang  tantrum karena  ngantuk tapi tidak mau bobo* *istigfar kenceng2*,siapa bilang punya anak menyenangkan terus sodorin anak tantrum ngantuk tidak mau bobo istigfar kenceng
sad,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi",merasa oon tahu tidak bicarakan orang nah kelalaian malah sebaliknya jadi malah merubah siklus alur waktu terjadi
anger,"Punya sahabat cowok  2 nih, tapi sering nya tidak konsisten terus sering bohong lagi. Kenapa sih? sudah berkali2 dimarahin karena  sering bohong tapi tidak mempan2 juga. Apa kodratnya suka bohong apa gimana?",punya sahabat cowok sering nya tidak konsisten terus sering bohong berkali dimarahin sering bohong tidak mempan apa kodratnya suka bohong apa gimana
joy,"Kalau tahu ada libur panjang - selain lebaran - tuh rasanya ingin cepat  gendong cerrier pakai  sepatu terus  pergi, ketemu alam dan berdamai dengannya,",kalau tahu libur panjang lebaran tuh rasanya cepat gendong cerrier pakai sepatu terus pergi ketemu alam berdamai dengannya
anger,Siapa bilang kafir gabung sama khilafah bro jangan alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL],siapa bilang kafir gabung sama khilafah bro jangan alihkan isu siapa penyelundup kaum bumidatar se olah pro pancasila username url
joy,"btw doa restu orang tua itu memang  gilingan ya... pas sudah mentok cari  literatur tambahan, temu  saja  dong di RUMAH. padahal dari kemarin sudah panik kudu pesan  dari banyumas apakah ini berkah ramadan [URL]",btw doa restu orang tua memang gilingan pas mentok cari literatur tambahan temu rumah padahal kemarin panik kudu pesan banyumas berkah ramadan url
anger,Salah satu contoh tidak tahu berterima kasih... padahal  datang pas sudah terkenal pi wannaone... ckckckc yang  dulu  berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME],salah satu contoh tidak tahu berterima kasih padahal datang pas terkenal pi wannaone ckckckc dulu berjuang siapa jawab sendiri ma ko wanna one s swing entertainment warns legal action against fansite masters url via username
fear,"dari  pgi merasakan  sakit perut kirain mau haid, sudah beli kiranti pas di cek malah kaga ada, tolong  atulah haid sekarang  aja, biar bisa ikut solat ied",pgi merasakan sakit perut kirain mau haid beli kiranti pas cek malah kaga atulah haid sekarang biar ikut solat ied
sad,Turut berduka cita buat kawan a cak. Semoga. Keluarga yang  di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani,turut berduka cita buat kawan a cak semoga keluarga tinggalkan a beri kesabaran amp meridoi kepergian alm sajete wani
anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes terus  piye mau tunjukkan kartu elektoniknya? #kecewa,username jaringannya mati tidak dibuka mobile jkn mau puskesmes terus piye mau tunjukkan kartu elektoniknya kecewa
anger,"kamu belum lahir atau belum  sekolah bong saya rasa.... Atau bapak kamu pki bong Bandit , rampok atau sejenis yang  menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]",kamu belum lahir belum sekolah bong rasa bapak kamu pki bong bandit rampok sejenis menganggu orang banyak pak soeharto dibilang kejam orang pki bandit rampok bong bong bongakk url
anger,bagi yang dulunya usaha terus sekarang  jadi karyawan macam saya pasti bawaannye ingin usaha lagi . tidak ada yang ngatur .flexible. lebih  banyak duit. faaak,usaha terus sekarang jadi karyawan macam bawaannye usaha tidak ngatur flexible lebih banyak duit faak
sad,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi saya lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. semoga  merapi lekas reda :) semoga  tidak ada bom lagi.,salah satu efek merapi sama bom orang mau bikin event negara takut jogja indonesia jadi event internasional beberapa negara belum konfirmasi takut sama merapi sama teror semoga merapi lekas reda semoga tidak bom
anger,Baiknya Gubernur Anies Baswedan dimosi tidak percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL],baiknya gubernur anies baswedan dimosi tidak percaya biar lengser username username username username username username username username username username url
anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus waktu  terjadi pelemahan saja... dengan  menyalahkan semuanya kepada  Presiden [USERNAME] .... [URL],kaum oposisi tidak bikin geger an media termsk medsos rupiah menguat musim ribut nya khusus waktu terjadi pelemahan menyalahkan semuanya presiden username url
sad,"Lagi puasa tapi dari  pagi sudah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini kenapa  siang2 tetangga sbelah goreng telur yah, kan baunya sampai  idung saya hikss piye sih mbak?",puasa pagi kesana kemari mmbawa alamat ayuting kalee enggk ding siang tetangga sbelah goreng telur yah kan baunya idung hikss piye mbak
anger,[USERNAME] Heee saya kemarin ngeliat hoak tetang pohon plastik pertama kali dari  akun anda ygdisebarkan lewat facebook  .... ini bukan saja nol besar tapi skaligus nonjok muka junjungan sdr ... terima kasih,username hee kemarin ngeliat hoak tetang pohon plastik pertama kali akun ygdisebarkan lewat facebook bukan nol besar skaligus nonjok muka junjungan sdr terima kasih
anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. terus  pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]",username min gimana kurirnya salah kirim malah alamat orang terus pertanggung jawabannya gimana respon secepatnya thanks url
fear,Ini pas banget! saya habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule oke dan niat kirim uang sekitar $100jt tapi pakai  pos. Bilang sama hadiah lain. tapi tidak masuk akal kirim yang sebanyak itu pakai  pos [URL],pas habis baca buku bule pdkt bilang cariin rumah sama mobil dicariin mobil sama rumah mewah si bule oke niat kirim uang jt pakai pos bilang sama hadiah tidak masuk akal kirim sebanyak pakai pos url
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..,username username username username masalahnya uang buat konsumsi buka puasa bareng anak yatim dibayarkan katering
sad,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah karena  biasanya tidak banyak yang  solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!,niat masjid sholat nya lantai berharap obob manjah biasanya tidak banyak solat disini fact fullhouse mpe shaf belakang bhay
joy,"Paling excited kalau  bicara  sama orang kreatif, siap saja kalau  bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa saya baru kepikiran?""",paling excited kalau bicara sama orang kreatif siap kalau bakal tercengang sama ide mungkin belum pernah terpikirkan olehmu iya baru kepikiran
anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yang  menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??",miris menciptakan karya susah payah menguras pikiran tenaga waktu materi kalah oknum menjiplak sekedar terima beres memanfaatkan karya orang gimmik sensasi gimana username
