label,tweet
sad,"Separuh hati ini iri jika melihat seorang anak yang  masih bisa duduk atau berjalan bersama ibundanya, dan separuh hati ini turut berempati melihat seorang anak yang  begitu gundah saat ibundanya sakit. Yang sabar ya kawan, semoga Allah memberikan yang  terbaik untuk kita semua."
joy,Ketika saya tersenyum bukan berarti hidupku sempurna.. saya hanya mensyukuri apa yang saya punya dan apa yang  telah Tuhan berikan untuk ku
sad,"dari mau tdr, tidur, sampai bangun  tidur  kok yaa mirip  merasa  aneh.. tidak enak hati. sudah dibawa istighfar masih aja. bangun  tidur  mirip  sedih, mirip  mikir tidak puguh. ini kenapa sangat  coba :("
love,kan kupeluk engkau erat2 hingga tak ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang  #6nov #31months
anger,kalau  mau ganti presiden itu harus jelas siapa calonnya. Terus diadu program kerjanya. Ini koalisi belum ditentuin bisanya hanya buat kaos dan tagar
joy,"Sukses n keren sekali  dengan  no.1 kualitas,bhn krja,itu cita2 pu agar warisan ampe ke cu2,sukses tims bbpjn6 barokah terlimpahkan"
anger,"sudah mau sarjana 2 kali, mbokya mulut nya jangan ketinggalan buat belajar. Sekiranya itu tidak perlu diungkapkan, tambah  dosa + menyakiti  hati orangnya mending diem2 baik  lah. kasihan  anda nya yang  di julidin sama  orang."
anger,Gimana orang tidak nilai dari  jilbab/syari/nggak nya. Kadang gemez sama  orang yang  dikelas diem2 baik  eh di grup saya bisanya dia nyeletuk mengarah ke social harassment.
fear,Hari ini jadwal presentasi proker di LPPM karena  ada praktikum jadinya pak ketua di temani sekretaris 1. Tapi selaku penanggung jawab ada di sekretaris 2 jadi deg deg an ini. Bismillah pak ketua (Btw pen Upload foto pak ketua tapi jangan dulu yaa)
anger,Foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka !! ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala !! Tuh sampai lupa kan saya #begoloe
fear,Drama kmarin sore : seharian puasa terus  pas lagi  mandi kaget bcz kedatangan tamu tak diundang pas sangat  woi pas lagi adzan maghrib terus  jadi galau dong seharian itu dianggap sah puasa apa enggak-_-
sad,Sungguh mencintaimu berat sekali. Berpisah denganmu apalagi. #HadiahPerasaan - [USERNAME] Selalu bikin baper tapi sukses melupakan laper. [URL]
anger,"4. pas sudah  dikirim kembali, si kurir telepon keluh  dan malas bergerak buat antar  ke alamat yang  bener. malah minta ketemuan di titik yang  dia tahu itupun dia tidak mau susah (no putar  balik, harus  searah sama arah kendaraan dia jalan)"
joy,"Pada akhirnya kita akan melewati semua ini, semua yang dulu kita bayangkan betapa sulitnya. Kita lalui juga. Di akhir kita hanya bisa belajar, belajar, dan belajar. Memetik semua hikmah yang bisa kita petik. Mempersiapkan untuk kedepan."
love,"Kenapa pasangan seringkali diibaratkan sebagai ""rumah""? Karena rasa nyaman bersamanya senyaman berada di rumah, kamu bisa jadi apa saja, kamu selalu pulang menujunya"
fear,"Ya tahu kalau  rasa sakit hati memamg sulit, tapi ada kala nya saat di jenjang rumah tangga jangan lah di publikan situasi saat ini...media itu jahat tidak  menyelesaikan masalah dengan terlontarnya kata demi kata"
joy,Ponakan kelas  4 SD: lagi  suka  nonton video tutorial masak + craft @ YouTube. saya kelas  4 SD: sudah baca novel2 Marga T. &amp Mira W. pinjam  punya sepupu
joy,Bberapa tahun kemudian kesejahteraan keluarga makmak ini teus meningkat. Sampailah suaminya itu dapat  pangkat yang  tinggi. Kurang paham juga tentang pangkat2an di TNI. pokoknya  sudah hidup bekecukupan.
sad,"Bukan tidak mendukung atau mendoakan, cuma menyikapi apa yang sudah2, itu pilihanmu dan berupayalah mempertahankannya...disini saya dari jauh seharusnya bahagia tapi melihatmu sedih kebahagianku pudar...seperti saat kala itu menerima undangan pernikahanmu."
joy,JNE/JNT selama saya pakai  entah kirim paket/beli olshop jastip dari luar kota sampai beda pulau maksimal 3 hari sampai mau itu dia pakai  mobil susah cari alamat bingung tidak bisa masuk kompleks/gang meski malam  sekalipun dibelain jalan ke rumah sampai paketan terkirim dengan  baik.
anger,"Gemes sangat  sama orang yang  masih menganggap wajar pelecehan sexual secara verbal mau verbal atau fisik atau apapun, itu tetap tidak dibenarkan!"
fear,Apa hukumnya bermain musik stad? jelas HAROOOOM hukumnya! Berdosa kita memainkannya! Begitulah kira-kira percakapan yang  terjadi antara penanya dan seorang ustad disebuah acara tv yang  intronya pakai  musik.
anger,Apa Hebatnya Mardani? Menurut saya  oeang ini Cuma besar mulut saja  Faktanya sampai saat ini belum  menyebutkan Capres Lagipula kalau Koalisinya Hanya PKS dan GERINDRA tidak mungkin lah yaow
sad,"Oh iya, ibu nya ngelahirin anak ke 3 yaitu cewek tapi  tidak tahu tahun berapa2 nya. Lanjut yang  tadi, baru saja  setahun di kasih kenikmatan datang lagi  ujian buat si makmak kali ini mungkin berat. Dia di tinggal suaminya meninggal. Seketika ibu itu jadi singel parent"
joy,Z suka twitter soalny perempuan ji semua temanku di sini Biar mengomel sampai tablengker ndada bahayanya... bahas 'monsteration' juga bebas.. bahas tidak puasa juga bebas~~~~~ Di saya mau  update status streskan 'monsteration' kita  harus pi dulu  blok semua cowok  baru mengupdate
anger,tidak ngerti lagi sama ciwi-ciwi yang nyinyirin Via Vallen ini. Dia itu korban loh. Sesusah itukah untuk saling support satu sama lain gurlzz?
anger,"hari ini libur, rencananya mau nonton Jurassic World, tapi kayaknya  tidak jadi deh mengingat kondisi yang  tidak fit sangat  ini sebel. Rusak rencana sebelanga.. kesal  saya"
anger,"Nah ini, yang  nunggu anak anteng dengan kesabaran seluas samudra terus  bapaknya dateng2 bikin anak nangis. Hmmm kuingin marah melampiaskan"
love,"Ku rindu bisik mu di telingaku Seraya kamu berkata ""semoga kelak kamu menjadi anak yang  berguna bagi banyak orang dan semoga kamu selalu menyayangi kami orang tua mu""."
anger,ini hasil sekolah asal sekolah ... mikirlah Mahkamah Internasional itu punya kewenangan mengadili perkara genosida dsbnya ...
anger,"Lah elu yang harusnya ditanya teh, kenapa bisa berasumsi guw mah kacang tanpa kulit, maksudnya apa hayo? Ke sana juga kan maksud loooo"
anger,"web permata kurang  profesional. Ada program cashback 10rb token pln, waktu di klik info, masuknya ke program paket kuota data. Piye iki?"
fear,"Nah.... yang  saya takutkan itu mas. Nanti di tumpangi politik dibalut agama. Itu yang  bahaya, soalnya  masyarakat kita sedang sensitif dengan  hal tersebut."
sad,"mau cerita kesiapa kalau sudah mirip  begini? hancur hidup ini pikirin dong gimana hati ku saya sedih, saya nangis sampai menetes air mata ini kayaknya lirik lagu sayang pia palen deh wkwkw"
sad,"Setelah 20hari puasa dan saur tidak pernah kesiangan, akhirnya di hari ke21 merasakan  makan saur supeerrr dupeerr ekspress, 1menit sebelum imsak baru bangun yassalaaam"
fear,"jadi ada thr tapi dari  APBD. Yang punya kuasa takut, kalau kalau di garis bawahi sama kpk. Dan jadilah mereka ggl dapat  thr tahun ini. Kok bisa begitu  ya. Buk mentri bilang aman. Yang lain ketakutan."
anger,tolong bantu saya [USERNAME] Kenapa ya lptop saya sudah 2 kali kok tidak bisa buka dokumen pasti not responding.pdhal sudah pernah dibawa ke hp center semoga  . Apakah lptop saya termasuk produk gagal atau gimana.beli 11 maret 2018 . Dan kalau  gini terus  kan jadi jgkel sndri.
anger,ini sudah masuk ke proses penjualan... Tapi pas dibuka detail ko malah gini? Apakah produk sedang diproses atau diproses tanggal 11?
anger,[USERNAME] Semen indonesia belum nambang loh di Rembang...malah ada perusahaan yang  lokasi hanya 200 meter dari  areal tambang semen tidak pernah diprotes dan ini sudah bertahun2 lamanya...knp kok pas semen diprotes?
anger,SIAPA yang  BILANG PUNYA ANAK MENYENANGKAN terus  *sodorin anak yang  tantrum karena  ngantuk tapi tidak mau bobo* *istigfar kenceng2*
sad,"Merasa oon ketika tahu sesuatu dan tidak boleh di bicarakan ke orang lain, nah kelalaian malah sebaliknya, jadi malah merubah siklus dan alur waktu yang seharusnya itu terjadi"
anger,"Punya sahabat cowok  2 nih, tapi sering nya tidak konsisten terus sering bohong lagi. Kenapa sih? sudah berkali2 dimarahin karena  sering bohong tapi tidak mempan2 juga. Apa kodratnya suka bohong apa gimana?"
joy,"Kalau tahu ada libur panjang - selain lebaran - tuh rasanya ingin cepat  gendong cerrier pakai  sepatu terus  pergi, ketemu alam dan berdamai dengannya,"
anger,Siapa bilang kafir gabung sama khilafah bro jangan alihkan isu anda itu siapa penyelundup dari kaum bumidatar se-olah2 pro Pancasila [USERNAME] [URL]
joy,"btw doa restu orang tua itu memang  gilingan ya... pas sudah mentok cari  literatur tambahan, temu  saja  dong di RUMAH. padahal dari kemarin sudah panik kudu pesan  dari banyumas apakah ini berkah ramadan [URL]"
anger,Salah satu contoh tidak tahu berterima kasih... padahal  datang pas sudah terkenal pi wannaone... ckckckc yang  dulu  berjuang siapa? Jawab sendiri ma ko deh Wanna One's Swing Entertainment warns legal action against fansite masters [URL] via [USERNAME]
fear,"dari  pgi merasakan  sakit perut kirain mau haid, sudah beli kiranti pas di cek malah kaga ada, tolong  atulah haid sekarang  aja, biar bisa ikut solat ied"
sad,Turut berduka cita buat kawan a cak. Semoga. Keluarga yang  di tinggalkan a. Bisa di beri kesabaran &amp meridoi kepergian alm.. #sajete #wani
anger,[USERNAME] jaringannya mati ya? Tidak bisa dibuka mobile jkn. Saya mau ke puskesmes terus  piye mau tunjukkan kartu elektoniknya? #kecewa
anger,"kamu belum lahir atau belum  sekolah bong saya rasa.... Atau bapak kamu pki bong Bandit , rampok atau sejenis yang  menganggu orang banyak? Pak Soeharto dibilang kejam hanya oleh orang2 Pki Bandit Rampok Bong bong bongakkk [URL]"
anger,bagi yang dulunya usaha terus sekarang  jadi karyawan macam saya pasti bawaannye ingin usaha lagi . tidak ada yang ngatur .flexible. lebih  banyak duit. faaak
sad,Salah satu efek merapi sama bom bagi orang yang mau bikin event. Negara lain takut ke Jogja dan Indonesia karena. Jadi saya lagi ada event internasional dan beberapa negara belum konfirmasi karena takut sama merapi sama teror juga. semoga  merapi lekas reda :) semoga  tidak ada bom lagi.
anger,Baiknya Gubernur Anies Baswedan dimosi tidak percaya biar lengser [USERNAME] ! [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
anger,Kaum oposisi tidak bikin geger-an di media termsk medsos ketika Rupiah menguat.... Musim ribut-nya khusus waktu  terjadi pelemahan saja... dengan  menyalahkan semuanya kepada  Presiden [USERNAME] .... [URL]
sad,"Lagi puasa tapi dari  pagi sudah kesana kemari mmbawa alamat,, eh ayuting2 kalee.. enggk ding. Ini kenapa  siang2 tetangga sbelah goreng telur yah, kan baunya sampai  idung saya hikss piye sih mbak?"
anger,[USERNAME] Heee saya kemarin ngeliat hoak tetang pohon plastik pertama kali dari  akun anda ygdisebarkan lewat facebook  .... ini bukan saja nol besar tapi skaligus nonjok muka junjungan sdr ... terima kasih
anger,"[USERNAME] Min ini gimana? Kurirnya salah kirim, malah ke alamat orang. terus  pertanggung jawabannya gimana? Tolong respon secepatnya. Thanks. [URL]"
fear,Ini pas banget! saya habis baca buku ada bule PDKT bilang cariin rumah sama.mobil. dicariin mobil sama rumah mewah si bule oke dan niat kirim uang sekitar $100jt tapi pakai  pos. Bilang sama hadiah lain. tapi tidak masuk akal kirim yang sebanyak itu pakai  pos [URL]
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..
sad,Niat ke masjid sholat nya di lantai 2 berharap bisa obob manjah karena  biasanya tidak banyak yang  solat disini. Fact: Fullhouse mpe shaf belakang. Bhay!
joy,"Paling excited kalau  bicara  sama orang kreatif, siap saja kalau  bakal tercengang sama ide mereka yang mungkin belum pernah terpikirkan olehmu: ""Oh iya, kenapa saya baru kepikiran?"""
anger,"Miris : Menciptakan 'karya' dengan susah payah yang menguras pikiran,tenaga,waktu dan materi,... KALAH oleh oknum yang  menjiplak dan/atau sekedar terima beres memanfaatkan karya orang lain dengan gimmik dan sensasi. Gimana menurut [USERNAME] ??"
anger,"Sebelah mana stereotyping-nya dari pernyataan saya? Coba ditunjukkan, siapa tahu saya salah bicara. Bagus dong kalau banyak yang mengecam. Semakin banyak makin terdengar suara untuk kebenaran, semakin bagus. Kalau benar tapi kalah keras sama yang salah, itu yang harus diatasi. [URL]"
anger,Tipikal cowok  menye menye sangat  ni. Paling tidak bisa diajak argumen. Menyalahkan orang dan mengeluh terus ini  manusia maha sempurna. Pen ngatain goblok tapi puasa.
joy,Tiada henti 2ny saya mengucap syukut alhmdllh.... sekarang  saya bsa.... Uang jadi panitia kemarin alhmdllh trmkah kamu bri brlmpah.... meski  tak sbrpa inysllh lma2 mmbukit amn [URL]
anger,"Kamu mau bicara  apa.Kayaknya kamu dendam kepada  Anies.Pernah disakiti olh gub Anies?Salah apa Anies kpdmu?.Knp dendam?Kamu klmpok DKI42% yang  tidak puny gub,Anies bukan [URL] pada tempatnya kamu maki2 Anies.Salah. [URL]"
sad,Ketika di group keluarga sudah pada membicarakan  mudik. Duuh ingin mudik. Tapi apa daya suami libur cuma 4 hari dari  hari H lebaran. Itu juga kalau  tidak di telepon  disuruh masuk. 2 tahun lalu malah habis sholat eid langsung  kerja
sad,Orang yang  pernah kalah dalam pertarungan POLITIK sulit untuk bisa disembuhkan Karena mereka tidak bisa meraih impian dan sudah kehilangan banyak Harta.
sad,"Nggada sinyal di rumah, membuatku banyak berfikir, berfikir saja  tapi, pikiran ke mana mana, random.. Tapi pasti ada dia :("
fear,"Ada kabar  kasus tuduhan chat mesum terhadap Imam Besar Habib Rizieq sudah dihentikan, mohon bantu doa semoga benar adanya. Semoga kesucian Ramadhan membuka mata hati bapak2 kita yang  menyidik.amin"
fear,"Jangan ngecengin saya  lagi ya gaes [USERNAME] [USERNAME] [USERNAME], orang ini sudah ada blog-nya juga.. ..ya walaupun nulisnya tidak jam 2 dinihari sih."
anger,Cari orang2 yang  selalu menyudutkan Ansor. Sabar itu bagus tapi kalau terus menerus difitnah disalahkan jangan tinggal diam Saatnya
love,"halohaa selamat siang Denise sudah pulang sekolah belum nih ? Jangan lupa makan siang ya, oh iya gimana sudah sehatan kan kamu ? kalau  memang  masih kurang sehat ya perbanyak  istirahat saja  sekarang"" kakak selalu nunggu kok tweet"" dari k"
anger,"Itu lah bodoh mu bong.. disuruh baca, tidak mau baca... PBB CIKAL BAKALNYA DARI MASYUMI , PBB =KELUARGA BESAR BULAN BINTANG = MASYUMI dasar bong200"
fear,Mudah2an sudah terupload semua  sebelum z mudik karena  fans modal quota pun butuh daerah dengan jaringan yang bagus.. hiksss Hitungan jam juga br slsi kalau  z mau  download  ini di rumahku pi
anger,Orang pendukung khilafah memang harus di black mail [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] [URL]
anger,"jangan sok akrab ye mention mention saya , maling dulu saja  yang  benar  nanti kalau  sudah sukses jadi malingnye baru saya balas  mentionan kamu kamu pada .. #SalamSatuNyaliLari #BonekJancuk [URL]"
joy,"Alhamdulillah Prof, setelah berbicara semalam di [USERNAME] adem rasanya, semoga membawa keberkahan. amin  Yaa Rabbal 'Aalamiin."
joy,"Keren!! Kira-kira masih ada tidak yang  bilang Pak [USERNAME] anti-islam? 3,5 triliun, 142 hektar, jadi kampus rujukan Islam dunia sekelas Al-Azhar. Belum lagi proyek Ponpes, madrasah, Masjid dan fasilitas ummat lain. kalau  ada yang  masih bilang Beliau an"
anger,"[USERNAME] saya kan datang untuk bertanya, kemudian bicara  tuh sama mba mba Help desk. tapi saya tetap  tidak ngerti karena tidak dapat  jawaban yang  menjawab pertanyaan saya. terus  mbanya lama lama agak emosi, yaudah makin tidak kejawab dong, terus  saya pulang."
anger,"Sering tuh saya  digituin pas kalau  baru ketemu Apsara lagi ""kok perawatannya makin banyak? Makin gendut saja  sih "" wah senyum saja  iya2in saja  dalam  hati ""bacot kamu anjing"""
fear,"kalau  sifat buruk mungkin bisa dirubah dengan bertambahnya umur atau berubahnya keadaan. kalau  kebiasaan buruk mungkin sulit ya? karena semacam sudah jadi hobi, begitu  tidak sih?"
fear,"berdesakan..bejubelan, di kRL adalah salah satu godaan dalam berpuasa.....apalagi d depan  nya ada wanita cantik sambil kunyah  tahu gejrot...hehe.."
anger,[USERNAME] #belanjaitugakribet ternyata cuma  slogan doang.stelah dkomplen ternyata dbatalin sepihak. Dan nama besar itu tidak jaminan keprofesionalan ya..trus nyampein ke pihak official store kalau saya  yang  batalin..pdhl samsek tidak saya  batalin.jd sekarang  saya  sudah tahu kal
joy,Happy birthday to us [USERNAME] and happy 6th anniv wkwkwk Bentar lagi kita putus huhu saya harus cari pacar baru :3 [URL]
fear,Terus.. Baca komen2nya pada bilang kalau  musik itu haram. Dan bla bla. Nah disini saya tau. kalau  fanatik kan memang  gaboleh. tapi kalau sekedar suka begitu  gimana?
joy,"Rabu, 06-06-2018, anakbujangku selesai menempuh pendidikan di TK Bhakti Ibu, Bakauheni. Eit, ternyata ia dapat piala jugak hehehe"
anger,SAYA HIDUP DIZAMAN PRESIDEN HEBAT YAITU SOEHARTO.. Beliau Buat Aman dan tenang untuk Masyarakat..... Tetapi tidak tenang untuk: Kaum PKI Kaum Rampok Kaum Bandit Kaum yang  ingin jadi pejabat negara tapi otaknya kosong. Hanya kaum itulah yang  Tidak Suka Bapak SOEHARTO [URL]
joy,"Bersama segenap dewan guru.. Terimakasih telah membimbing anak kami selama ini, Bu.. Semoga ibu-ibu semua dimudahkan segala urusannya, dan ilmu yang ibu ajarkan menjadi amal jariah yang pahalanya akan terus mengalir ke ibu, selamanya.. [URL]"
anger,"saya memang  cuek sih , sangat  sangat  malah tapi kalau  ada yang  buat risih atau tidak nyaman ya hati2 saja  lah pokoknya.. Jangan sampai saya ajak nongkrong breng"
sad,"Bagi anda anda yang  dianugerahi gigi rapi dari lahir, bersyukurlah ! Karena pakai  behel ternyata lebih sakit daripada sakit hati. #menurutguesih"
joy,"Alhamdulillah Pie,,di RSUP Kariadi ini benar-benar  diurus, jadi sudah tidak panas tinggi lagi  soalnya langsung dikasih Paracetamol yang  botolan"
anger,"Melihat sudah terlalu banyak [USERNAME] project yang jatohnya malah jadi scam dan fraud, asli saya ingin coba deh bawa mereka sama creator creator mereka yang sudah bawa kabur duit banyak orang (termasuk gue) ke ranah hukum Indonesia."
anger,"Soal Via Vallen, saya Sepakat Sama Nikita Mirzani jangan lebay! Kalau tidak Suka Di gituin, tinggal tolak dan block itu  orang, jangan di share2 jadi konsumsi publik! Kek ingin menampilkan kepolosan tak berdosa gimana gituu.. #menurutkusih"
fear,"Baru 'ngerusuh' di balai desa Terus pas mau pulang tadi, bu lurah nanya, ""Mba Ulfah... itu temannya yang satu ke mana sih, kok tidak kelihatan?"" ""Hah? Teman saya buk? O.o"" Bu Lurah: ""Iya, yang biasa bareng, dari senin tidak berangkat lho."" WAIT, DARI SENIN????"
fear,"Mba PPS: ""Tuh, pasti ada apa-apa.... mba Ulfa juga pasti merasa  ini kok tidak ada."" ""....Sebentar, sebentar..."" DIA KENAPA LAGI SIH, DARI SENIN tidak BERANGKAT :""( Bikin khawatir saja  T.T"
anger,"aduh  ini lagi Satu cewek  yang  sudah pikirannya jahat, jari jarinya jahat. Dinikmati? Heh mbak memang  penyanyi dangdut itu auto lonte? Lonte juga bisa kena sexual harassment mbaaaak."
sad,"kamu ngapa si galau mulu:( kamu kalau  galau banyak diem, kalau lagi  senang  tidak bisa diem. Mangat dong kak nanas senang  itu bisa nularin ke orang2 loh:( wkwk"
anger,Sudah berjuta kali bong dikasih tau.. Pak Harto hanya kejam : Pki Bandit Rampok kamu keturunan kelompok mana bong??? Hahahahaha
joy,"Sebentar lagi ketemu krucil-krucil ponakan yang gemesin banget, suka nya minta main berantem-beranteman. Seru sih meskipun ya resiko pada pegel-pegel nantinya, sedikit-sedikit sambil ngajarin berhitung agar #JadiLebihBaik lagi Nanti pas masuk sekolah"
anger,"Lalu bagaimana dengan negara? Mereka akan kehilangan banyak pendapatan dari cukai rokok. Hutang negara akan semakin banyak. Ah, itu kan hanya pembenaranmu saja. Coba lihat ini! Bagaimana? Apa pendapatmu masih sama? [URL]"
fear,"Eh tapi numbuhin brewok juga buat nyenengin diri sendiri sih, compliment dari sesama cowok bonus lah. Tapi tidak dirawat sedikit  langsung tumbuh liar atau gatal  sekali "
anger,"kost  deket kantor, datang  paling telat, terus  kalau  siang tidur pula selonjoran di sofa. teman  kantor kaya gini memang  perlu dikatain tahi  sih."
anger,"si [USERNAME] ini tidak bisa seenak dewe melepaskan tanggung jawab ke backers cuma berdasarkan ToC antara Kickstarter selaku penyedia platform crowd-funding, creators, dan backers. ToC tetap tunduk ke hukum yang berlaku di governing law si ToC. saya mau cari legal loophole nya. [URL]"
sad,Ada anak sma habis perpisahan atau semacam wisuda sekolah. Foto bareng sama temen-temennya sejawat dengan  pakai kebaya lalu di post di IG dengan caption 'Nanti siapa ya yang bakal nikah duluan'. Ku langsung tertunduk lesu dan seraya ingin minum extra joss. Cuk.
joy,"Awak sih jadi orang slow, mau di omongin a to z asal ale banyak  makan, tidak cranky, berat naik sudah bahagia. masalah  apapun jadi kayak  tidak ada. Ibu2 sangat  sih sekarang "
anger,Ganti presiden? Siapa takut...hanya siapa calonnya? Apa si doi yang  onoh? Ih tidak syudih
anger,"Para penipu ,kasihan ibukota negara saya di pimpin sama mereka2 yang  haus jabatan tanpa mementingkan rakyatnya ,,,tai buat [USERNAME] [USERNAME]"
fear,"Perginya diantar sama teman, tidak bawa HP. sudah janjian biar dijemput jam setengah 2. karena  sayanya ketiduran, dan yang  jemput tidak nongol2, bingung mau gmna. Akhirnya jalan kaki 2 kamu siang bolong. Ngeri kali lahh~~ vanashh syekaleh vemirsyahh"
sad,"iya, kamu laki-laki, sang pengambil keputusan. tapi kan saya juga ingin dianggap, diajak berdiskusi, dimintai pendapat, diajak mencari jalan keluar, atau sekadar ditenangkan kecemasannya. saya ini ada. jangan hidup sendiri. [USERNAME]"
sad,"Akhirnya ingin berkata juga, saya tidak mau sakit, kenapa migrain ini harus datang  saat lagi byk2nya masalah yang  membutuhkan tenaga mikir, apalagi bentar lagi  harus mudik. Ya Allah kenapa coba"
joy,"ingin cerita dari kemarin  tidak sempet. Beberapa hari yang  lalu tarawih di masjid tidak konsentrasi  sekali  posisi lagi apes. Gimana gak, posisi solat di shaf depan ada mas2 pakai  sarung terus  sarung nya nyeplak pantatnya pas banget, ketat. Kampret, pen terbahak-bahak  tapi lagi solat. Syit."
joy,Congratulation [USERNAME] semoga dilancarkan dan dapat kesempatan memandang orang orang di panggung [USERNAME] Break a leg!!! [URL]
fear,"tidak jamin deh. Tapi gemana pak Police [USERNAME] , siap tidak kerja tanpa pungli dan sejenisnya. Korup, pungli itu bagai addicted. Sekali nyoba, keenakan. tambah  lagi deh. #generasiantikorupsi"
